Word,Definition
advertise,make publicity for; try to sell
advocate,"a person who pleads for a person, cause, or idea"
aesthetic,characterized by an appreciation of beauty or good taste
affable,diffusing warmth and friendliness
affection,a positive feeling of liking
affidavit,written declaration made under oath
affinity,a natural attraction or feeling of kinship
affluent,having an abundant supply of money or possessions of value
agenda,"a list of matters to be taken up, as at a meeting"
aggrandize,"embellish; increase the scope, power, or importance of"
aggravate,make worse
aggregate,a sum total of many heterogeneous things taken together
aggressive,characteristic of an enemy or one eager to fight
aggrieve,cause to feel distress
agitate,move or cause to move back and forth
agog,highly excited
agonize,suffer anguish
agrarian,relating to rural matters
airtight,completely sealed so as to prevent gas from moving in or out
alacrity,liveliness and eagerness
alchemy,a pseudoscientific forerunner of chemistry in medieval times
alibi,proof that someone accused of a crime could not have done it
alienate,arouse hostility or indifference in
align,arrange so as to be parallel or straight
allay,lessen the intensity of or calm
allegiance,the act of binding yourself to a course of action
alleviate,"provide physical relief, as from pain"
allude,make an indirect reference to
allure,the power to entice or attract
ally,a friendly nation
aloft,at or on or to the masthead or upper rigging of a ship
aloof,"distant, cold, or detached in manner"
altruism,the quality of unselfish concern for the welfare of others
amalgamate,bring or combine together or with something else
ambiguous,having more than one possible meaning
amble,walk leisurely
ameliorate,make better
amenable,disposed or willing to comply
amenity,"something that provides value, pleasure, or convenience"
amiable,diffusing warmth and friendliness
amicable,characterized by friendship and good will
amity,a state of friendship and cordiality
amorphous,having no definite form or distinct shape
amulet,a trinket thought to be a magical protection against evil
analgesic,capable of relieving pain
anarchist,an advocate of the abolition of governments
anathema,a formal ecclesiastical curse accompanied by excommunication
ancillary,furnishing added support
anecdote,short account of an incident
anemic,relating to or having a deficiency of red blood cells
anesthetic,a drug that causes temporary loss of bodily sensations
animate,make lively
animus,a feeling of ill will arousing active hostility
annals,a chronological account of events in successive years
annoy,"disturb, especially by minor irritations"
annul,cancel officially
anomalous,deviating from the general or common order or type
anonymous,having no known name or identity or known source
antagonize,provoke the hostility of
antediluvian,of or relating to the period before the biblical flood
anterior,of or near the head end or toward the front plane of a body
anthology,a collection of selected literary passages
antic,ludicrously odd
antidote,a remedy that stops or controls the effects of a poison
apathy,an absence of emotion or enthusiasm
aphorism,a short pithy instructive saying
apocalyptic,of or relating to a catastrophe
apocryphal,being of questionable authenticity
apoplectic,marked by extreme anger
apostasy,"rejection of religious beliefs, political party, or cause"
apostrophe,a mark used to indicate the omission of one or more letters
apothecary,a health professional who prepares and dispenses drugs
appall,strike with disgust or revulsion
apparel,clothing in general
appeal,earnest or urgent request
appealing,able to attract interest or draw favorable attention
appellation,identifying words by which someone or something is called
applause,a demonstration of approval by clapping the hands together
apposite,being of striking appropriateness and pertinence
appreciable,enough to be estimated or measured
apprehension,fearful expectation or anticipation
apprise,inform somebody of something
approbation,official acceptance or agreement
appropriate,"suitable for a particular person, place, or situation"
apropos,"of a suitable, fitting, or pertinent nature"
apt,being of striking appropriateness and relevance
aquatic,operating or living or growing in water
arbor,a framework that supports climbing plants
arboreal,of or relating to or formed by trees
archaic,so extremely old as seeming to belong to an earlier period
archetype,something that serves as a model
archipelago,a group of many islands in a large body of water
archive,a depository containing historical records and documents
ardor,feelings of great warmth and intensity
arduous,characterized by effort to the point of exhaustion
argot,a characteristic language of a particular group
arrest,take into custody
arresting,commanding attention
arrhythmic,lacking a steady beat or accent
arrogance,overbearing pride evidenced by a superior manner
articulate,express or state clearly
ascendant,tending or directed upward
ascetic,someone who practices self denial as a spiritual discipline
askew,turned or twisted to one side
aspect,a characteristic to be considered
asperity,harshness of manner
aspersion,a disparaging remark
aspirant,an ambitious young person
assent,agree or express agreement
assert,declare or affirm solemnly and formally as true
assertive,aggressively self-assured
assess,"estimate the nature, quality, ability or significance of"
assiduous,marked by care and persistent effort
assuage,"provide physical relief, as from pain"
astounding,bewildering or striking dumb with wonder
astringent,tending to draw together or constrict soft organic tissue
astrology,divination by the positions of the planets and sun and moon
astute,marked by practical hardheaded intelligence
asunder,into parts or pieces
asylum,a shelter from danger or hardship
asymmetrical,characterized by an imbalance in spatial arrangement
atone,turn away from sin or do penitence
atrocious,shockingly brutal or cruel
attenuate,"become weaker, in strength, value, or magnitude"
audacious,disposed to venture or take risks
audition,perform in order to get a role
augur,predict from an omen
authentic,not counterfeit or copied
authority,the power or right to give orders or make decisions
autocracy,a theory favoring unlimited authority by an individual
autonomy,political independence
avarice,reprehensible acquisitiveness; insatiable desire for wealth
aver,declare or affirm solemnly and formally as true
aversion,a feeling of intense dislike
avid,marked by active interest and enthusiasm
awash,covered with water
awe,an overwhelming feeling of wonder or admiration
awkward,lacking grace or skill in manner or movement or performance
awl,a pointed tool for marking surfaces or for punching holes
awning,a canvas canopy to shelter people or things from rain or sun
awry,turned or twisted to one side
axiomatic,evident without proof or argument
babble,utter meaningless sounds
bacteria,single-celled organisms that can cause disease
badge,an emblem that signifies your status
badger,sturdy carnivorous burrowing mammal with strong claws
badinage,frivolous banter
bait,something used to lure fish or other animals
bale,a large bundle bound for storage or transport
baleful,threatening or foreshadowing evil or tragic developments
balk,refuse to proceed or comply
ballad,a narrative poem of popular origin
ballast,any heavy material used to stabilize a ship or airship
ballet,a theatrical performance of a story by trained dancers
balm,preparation applied externally as a remedy or for soothing
banal,repeated too often; overfamiliar through overuse
bane,something causing misery or death
banish,"expel, as if by official decree"
banter,light teasing repartee
barb,a point facing the main point making an arrowhead or spear
barbarous,able or disposed to inflict pain or suffering
barefaced,with no effort to conceal
bargain,an agreement between parties fixing obligations of each
baroque,relating to an elaborately ornamented style of art and music
barrage,the heavy fire of artillery to saturate an area
barren,completely wanting or lacking
barricade,a barrier to impede the advance of an enemy
barter,exchange goods without involving money
batch,a collection of things or persons to be handled together
bathetic,very sentimental or emotional
bawdy,humorously vulgar
bedeck,decorate
belabor,beat soundly
beleaguer,annoy persistently
belie,be in contradiction with
bellwether,someone who assumes leadership of a movement or activity
beneficent,doing or producing good
benign,kind in disposition or manner
berate,censure severely or angrily
beseech,ask for or request earnestly
besmirch,smear so as to make dirty or stained
bibliography,a list of writings with time and place of publication
bifurcate,split or divide into two
bigot,a prejudiced person who is intolerant of differing opinions
bland,lacking taste or flavor or tang
blandishment,flattery intended to persuade
blast,a sudden very loud noise
blatant,without any attempt at concealment; completely obvious
blemish,a mark or flaw that spoils the appearance of something
blight,any plant disease resulting in withering without rotting
bliss,a state of extreme happiness
blithe,carefree and happy and lighthearted
blueprint,something intended as a guide for making something else
blunder,an embarrassing mistake
blunt,not sharp (used of a knife or other blade)
blur,confuse or make unclear
blurb,"a promotional statement, as on the dust jacket of a book"
blurt,utter impulsively
bluster,"be gusty, as of wind"
boggle,overcome with amazement
boisterous,marked by exuberance and high spirits
bolster,support and strengthen
bombast,pompous or pretentious talk or writing
bonhomie,a disposition to be friendly and approachable
boon,"something that is desirable, favorable, or beneficial"
boor,a crude uncouth ill-bred person lacking refinement
bound,confined by bonds
bouquet,an arrangement of flowers that is usually given as a present
boycott,refusal to have commercial dealings with some organization
bracing,refreshing or invigorating
bracket,a punctuation mark used to enclose textual material
braid,make by interlacing
brake,a restraint used to slow or stop a vehicle
brash,offensively bold
bravado,a swaggering show of courage
brazen,unrestrained by convention or propriety
breach,"an opening, especially a gap in a dike or fortification"
brevity,the attribute of being short or fleeting
bribe,payment made to corrupt a person in a position of trust
bridle,headgear for a horse
brisk,quick and energetic
bristle,a stiff hair
brittle,having little elasticity
broach,bring up a topic for discussion
bromide,a trite or obvious remark
brook,a natural stream of water smaller than a river
browbeat,discourage or frighten with threats or a domineering manner
buck,"mature male of certain mammals, especially deer or antelope"
budge,move very slightly
buffoon,a person who amuses others by ridiculous behavior
bulge,swell or protrude outwards
bully,discourage or frighten with threats or a domineering manner
bumptious,offensively self-assertive
bungle,"make a mess of, destroy, or ruin"
buoy,an anchored float that marks locations in a body of water
buoyant,tending to float on a liquid or rise in air or gas
burgeon,grow and flourish
burlesque,a theatrical entertainment of broad and earthy humor
burnish,polish and make shiny
buttress,a support usually of stone or brick
cache,a hidden storage space
cacophony,loud confusing disagreeable sounds
cadge,obtain or seek to obtain by wheedling
cajole,"influence or urge by gentle urging, caressing, or flattering"
calibrate,make fine adjustments for optimal measuring
calligraphy,beautiful handwriting
callous,emotionally hardened
callow,young and inexperienced
callus,a skin area that is thick or hard from continual pressure
calorie,unit of heat raising 1 gram of water by 1 degree centigrade
calumniate,charge falsely or with malicious intent
camaraderie,the quality of affording easy familiarity and sociability
cameo,engraving or carving in low relief on a stone
camouflage,an outward semblance misrepresenting the nature of something
canard,a deliberately misleading fabrication
candor,the quality of being honest and straightforward
canon,a collection of books accepted as holy scripture
canopy,a covering (usually of cloth) that shelters an area
canvas,"a heavy, closely woven fabric"
canvass,get opinions by asking specific questions
canyon,a ravine formed by a river in an area with little rainfall
capitulate,surrender under agreed conditions
caprice,a sudden desire
captivate,attract; cause to be enamored
caret,a mark used to indicate an insertion into a text
careworn,showing the effects of overwork or suffering
cardinal,a vivid red color
caricature,a representation of a person exaggerated for comic effect
carnal,of or relating to the body or flesh
carouse,engage in boisterous merrymaking
carp,any of various freshwater fish of the family Cyprinidae
cartographer,a person who makes maps
carve,engrave or cut by chipping away at a surface
cast,put or send forth
castigate,inflict severe punishment on
catastrophe,a sudden violent change in the earth's surface
categorical,relating to or included in a class or classes
catholic,comprehensive or broad-minded in tastes and interests
caustic,capable of destroying or eating away by chemical action
caveat,a warning against certain acts
cavern,a large cave or a large chamber in a cave
cavil,raise trivial objections
cavort,play boisterously
cede,give over
censor,a person authorized to suppress unacceptable material
censorious,harshly critical or expressing censure
censure,harsh criticism or disapproval
census,a periodic count of the population
cessation,a stopping
chaff,material consisting of seed coverings and pieces of stem
chagrin,strong feelings of embarrassment
chameleon,lizard of Africa and Madagascar able to change skin color
champion,someone who has won first place in a competition
chaos,formless state of matter before the creation of the cosmos
charade,a word acted out in an episode of a game
charlatan,a flamboyant deceiver
chary,characterized by great caution
chase,go after with the intent to catch
chasm,a deep opening in the earth's surface
chauvinistic,fanatically patriotic
check,examine to determine accuracy or quality
chef,a professional cook
cherubic,having a sweet nature befitting an angel
chiaroscuro,the arrangement or interplay of light and dark in an artwork
chicanery,the use of tricks to deceive someone
chide,scold or reprimand severely or angrily
choleric,characterized by anger
choir,a chorus that sings as part of a religious ceremony
chord,a combination of three or more notes that blend harmoniously
chorus,actors who comment on the action in a classical Greek play
chromatic,"being, having, or characterized by color"
chronic,long-lasting or characterized by long suffering
chuckle,a soft partly suppressed laugh
churl,a crude or uncouth person lacking culture or refinement
cipher,a secret method of writing
circuitous,deviating from a straight course
circumference,the length of the closed curve of a circle
circumlocution,an indirect way of expressing something
circumscribe,draw a geometric figure around another figure
circumspect,careful to consider potential consequences and avoid risk
circumvent,surround so as to force to give up
cistern,a sac or cavity containing fluid
civility,the act of showing regard for others
claim,assert or affirm strongly
clandestine,conducted with or marked by hidden aims or methods
clarion,loud and clear
clarity,the quality of being coherent and easily understood
clasp,hold firmly and tightly
cleft,a long narrow opening
clement,(of weather or climate) mild
cliche,a trite or obvious remark
clique,an exclusive circle of people with a common purpose
clog,any object that acts as a hindrance or obstruction
clot,a lump of material formed from the content of a liquid
cloture,a rule for limiting or ending debate in a deliberative body
cloudburst,a heavy rain
clout,(boxing) a blow with the fist
cloying,overly sweet
clumsy,lacking grace in movement or posture
coalesce,fuse or cause to come together
coax,influence or persuade by gentle and persistent urging
coda,the closing section of a musical composition
coerce,cause to do through pressure or necessity
coeval,of the same period
cogent,powerfully persuasive
cognizant,having or showing knowledge or understanding or realization
colander,bowl-shaped strainer used to wash or drain foods
collapse,"break down, literally or metaphorically"
collude,act in unison and in secret towards a deceitful purpose
colonnade,structure consisting of a row of evenly spaced columns
colossal,so great in size or force or extent as to elicit awe
coma,a state of deep and often prolonged unconsciousness
combustible,capable of igniting and burning
comely,according with custom or propriety
comity,a state or atmosphere of harmony or mutual civility
commencement,the act of starting something
commend,"present as worthy of regard, kindness, or confidence"
commensurate,corresponding in size or degree or extent
commercial,connected with or engaged in the exchange of goods
commingle,mix or blend
commitment,the act of binding yourself to a course of action
committed,"bound or obligated, as under a pledge to a cause or action"
commodious,large and roomy
commotion,a disorderly outburst or tumult
compendium,a publication containing a variety of works
complacency,the feeling you have when you are satisfied with yourself
complaisance,a tendency to try to please or yield to the will of others
compliant,disposed to act in accordance with someone's wishes
compliment,a remark expressing praise and admiration
comply,"act in accordance with someone's rules, commands, or wishes"
composed,serenely self-possessed and free from agitation
compound,a whole formed by a union of two or more elements or parts
compress,squeeze or push together
compromise,an accommodation in which both sides make concessions
compunction,"a feeling of deep regret, usually for some misdeed"
concatenate,add by linking or joining so as to form a chain or series
concave,curving inward
conceal,prevent from being seen or discovered
concede,give over
concentrate,"make denser, stronger, or purer"
concerted,involving the joint activity of two or more
conciliate,gain the good will of or cause to be more favorably inclined
concise,expressing much in few words
concord,a harmonious state of things and of their properties
concur,happen simultaneously
condescending,characteristic of those who treat others with arrogance
condign,fitting or appropriate and deserved
condole,express one's sympathy on the occasion of someone's death
condone,"excuse, overlook, or make allowances for"
conducive,tending to bring about; being partly responsible for
conductor,the person who leads a musical group
confident,having or marked by assurance
confine,place limits on
confluence,a place where things merge or flow together
confront,"oppose, as in hostility or a competition"
confound,be confusing or perplexing to
congeal,"solidify, thicken, or come together"
congenial,suitable to your needs
congruent,corresponding in character or kind
conjecture,believe especially on uncertain or tentative grounds
connive,form intrigues (for) in an underhand manner
connoisseur,an expert able to appreciate a field
conscientious,characterized by extreme care and great effort
consensus,agreement in the judgment reached by a group as a whole
consequence,a phenomenon that is caused by some previous phenomenon
conservative,resistant to change
conservatory,a schoolhouse with special facilities for fine arts
conserve,"keep in safety and protect from harm, loss, or destruction"
considerable,"large in number, amount, extent, or degree"
console,give moral or emotional strength to
consolidate,form into a solid mass or whole
consonant,a speech sound that is not a vowel
conspicuous,obvious to the eye or mind
conspiracy,a plot to carry out some harmful or illegal act
constitute,form or compose
constrain,hold back
construct,make by combining materials and parts
consummate,having or revealing supreme mastery or skill
contagious,(of disease) capable of being spread by infection
contaminate,make impure
content,satisfied or showing satisfaction with things as they are
contentious,showing an inclination to disagree
contiguous,having a common boundary or edge
contort,twist and press out of shape
contract,a binding agreement that is enforceable by law
contravene,"go against, as of rules and laws"
contrite,feeling or expressing pain or sorrow
contumacious,willfully obstinate; stubbornly disobedient
conundrum,a difficult problem
convalesce,get over an illness or shock
convenience,the quality of being useful
convention,the act of meeting formally
convergent,tending to come together from different directions
conversant,well informed about or knowing thoroughly
convert,"change the nature, purpose, or function of something"
convex,curving or bulging outward
convey,transmit or serve as the medium for transmission
conviction,an unshakable belief in something without need for proof
convoke,call together
convoluted,highly complex or intricate
convulsion,a violent uncontrollable contraction of muscles
copious,large in number or quantity
coquette,"talk or behave amorously, without serious intentions"
cordon,a series of sentinels or posts enclosing some place or thing
cornucopia,a horn filled with fruit and grain symbolizing prosperity
corona,one or more circles of light seen around a luminous object
coronation,the ceremony of installing a new monarch
corporeal,having material or physical form or substance
corroborate,give evidence for
corrosive,capable of destroying or eating away by chemical action
corrugated,shaped into alternating parallel grooves and ridges
cosmopolitan,composed of people from many parts of the world
cosset,treat with excessive indulgence
countenance,the appearance conveyed by a person's face
counterfeit,not genuine; imitating something superior
countermand,cancel officially
court,an assembly to conduct judicial business
covert,secret or hidden
covetous,immoderately desirous of acquiring something
cow,female of domestic cattle
cowardice,the trait of lacking courage
cower,crouch or curl up
cozen,be dishonest with
cramped,"small, constricted, and uncomfortable"
crass,so unrefined as to be offensive or insensitive
crave,have an appetite or great desire for
craven,lacking even the rudiments of courage; abjectly fearful
crease,an angular indentation made by folding
credence,the mental attitude that something is believable
credulous,showing a lack of judgment or experience
creek,a natural stream of water smaller than a river
creep,move slowly
crescendo,a gradual increase in loudness
crest,the top or extreme point of something
crestfallen,brought low in spirit
cronyism,favoritism shown to friends and associates
crook,a long staff with one end being hook shaped
croon,sing softly
crouch,the act of bending low with the limbs close to the body
crucial,of extreme importance; vital to the resolution of a crisis
crumple,gather something into small wrinkles or folds
crutch,a staff that fits under the armpit and supports body weight
crux,the most important point
cryptic,having a secret or hidden meaning
cuisine,the manner of preparing food or the food so prepared
culpable,deserving blame or censure as being wrong or injurious
cultivate,adapt something wild to the environment
cumbersome,"difficult to handle or use, especially because of size or weight"
cunning,showing inventiveness and skill
curator,"the custodian of a collection, as a museum or library"
curmudgeon,"an irascible, cantankerous person full of stubborn ideas"
curriculum,an integrated course of academic studies
cursory,hasty and without attention to detail; not thorough
curt,brief and to the point
curtail,terminate or abbreviate before its intended or proper end
cynic,someone who is critical of the motives of others
dabble,bob under so as to feed off the bottom of a body of water
daft,foolish or mentally irregular
daguerreotype,an early type of photograph produced on a silver plate
dais,a platform raised above the surrounding level
dally,behave carelessly or indifferently
damper,a depressing restraint
dandy,very good
dank,unpleasantly cool and humid
dapper,marked by up-to-dateness in dress and manners
dappled,having spots or patches of color
daredevil,a person who enjoys recklessly dangerous activities
dart,a sudden quick movement
daunt,cause to lose courage
dawdle,"hang or fall in movement, progress, development, etc."
deadpan,deliberately impassive in manner
dearth,an insufficient quantity or number
debacle,a sudden and complete disaster
debark,"exit from a vehicle, especially a boat"
debase,make impure by adding a foreign or inferior substance
debilitate,make weak
debris,the remains of something that has been destroyed
debunk,expose while ridiculing
debut,the act of beginning something new
decant,pour out
decibel,a unit of sound intensity
decipher,convert something hidden or secretive into ordinary language
decode,convert something hidden or secretive into ordinary language
decorum,propriety in manners and conduct
decrepit,worn and broken down by hard use
default,an option that is selected automatically
defer,yield to another's wish or opinion
deference,courteous regard for people's feelings
deficiency,lack of an adequate quantity or number
defile,make dirty or spotty
deft,skillful in physical movements; especially of the hands
defy,resist or confront with resistance
dehydrate,remove water from
deify,exalt to the position of a God
deleterious,harmful to living things
deliberate,carefully thought out in advance
delicacy,the quality of being exquisitely fine in appearance
delirium,a usually brief state of excitement and mental confusion
delusion,a mistaken or unfounded opinion or idea
deluge,a heavy rain
delve,"turn up, loosen, or remove earth"
demagogue,a leader who seeks support by appealing to popular passions
demolition,the act of destroying completely
demonstrate,give an exhibition of to an interested audience
demoralize,lower someone's spirits; make downhearted
demotic,of or for the common people
demur,politely refuse or take exception to
denigrate,attack the good name and reputation of someone
denouement,the outcome of a complex sequence of events
denounce,speak out against
dent,an impression in a surface (as made by a blow)
denude,make bare or strip of a covering
deplete,"use up, as resources or materials"
deplore,express strong disapproval of
deploy,place troops or weapons in battle formation
deportation,the expulsion of a non-citizen from a country
depose,force to leave an office
deposit,the act of putting something somewhere
depravity,moral perversion; impairment of virtue and moral principles
deprecate,express strong disapproval of; deplore
depreciate,decline in value
depressed,filled with melancholy and despondency
deprivation,the disadvantage that results from losing something
deracinate,pull up by or as if by the roots
derelict,"a person without a home, job, or property"
deride,treat or speak of with contempt
derivative,a compound obtained from another compound
descend,"move downward and lower, but not necessarily all the way"
descendant,a person considered as coming from some ancestor or race
desecrate,violate the sacred character of a place or language
desiccate,lacking vitality or spirit; lifeless
designate,design or destine
despicable,morally reprehensible
despise,look down on with disdain or disgust
despotic,having the characteristics of a tyrannical ruler
dessert,a dish served as the last course of a meal
desultory,"marked by lack of definite plan, purpose, or enthusiasm"
detach,cause to become separated
detain,cause to be slowed down or delayed
deter,turn away from as by fear or persuasion
deterioration,the process of changing to an inferior state
detour,a roundabout road or route
detract,take away a part from; diminish
detritus,loose material that is worn away from rocks
devoted,zealous in allegiance or affection
devout,deeply religious
dew,water that has condensed on a cool surface overnight
dexterous,skillful in physical movements; especially of the hands
diabolic,showing cunning or ingenuity or wickedness
diaphanous,so thin as to transmit light
diatribe,thunderous verbal attack
didactic,"instructive, especially excessively"
diffident,showing modest reserve
diffuse,spread out; not concentrated in one place
digit,"a finger or toe, or a corresponding body part"
digress,wander from a direct or straight course
dilate,become wider
dilatory,wasting time
dilettante,an amateur engaging in an activity without serious intention
diligent,quietly and steadily persevering in detail or exactness
dilute,lessen the strength or flavor of a solution or mixture
dimension,a construct distinguishing objects or individuals
diminish,"decrease in size, extent, or range"
din,"a loud, harsh, or strident noise"
dingy,thickly covered with ingrained dirt or soot
diplomatic,relating to negotiation between nations
dire,fraught with extreme danger; nearly hopeless
dirge,a song or hymn of mourning as a memorial to a dead person
disabuse,free somebody from an erroneous belief
disaffected,discontented as toward authority
disarm,take away the weapons from; render harmless
disarray,"untidiness, especially of clothing and appearance"
disavow,refuse to acknowledge
discern,"perceive, recognize, or detect"
discharge,remove the unbalanced electricity from
disciple,one who believes and helps spread the doctrine of another
discombobulate,cause to be confused emotionally
discomfit,cause to lose one's composure
disconcert,cause to lose one's composure
discord,lack of agreement or harmony
discredit,the state of being held in low esteem
discrepancy,a difference between conflicting facts or claims or opinions
discrete,constituting a separate entity or part
discretion,power of making choices unconstrained by external agencies
discretionary,having the ability to act according to your own judgment
discriminate,marked by the ability to see or make fine distinctions
discursive,tending to cover a wide range of subjects
disdain,lack of respect accompanied by a feeling of intense dislike
disengage,release from something that holds fast or entangles
disgorge,eject the contents of the stomach through the mouth
disguise,any attire that conceals the wearer's identity
disinclination,a certain degree of unwillingness
disinfect,destroy microorganisms or pathogens by cleansing
disjointed,taken apart at the points of connection
disinter,dig up for reburial or for medical investigation
disinterested,unaffected by concern for one's own welfare
dismantle,take off or remove
dismay,the feeling of despair in the face of obstacles
disparage,express a negative opinion of
disparate,fundamentally different or distinct in quality or kind
dispassionate,unaffected by strong emotion or prejudice
dispatch,the act of sending off something
dispose,"give, sell, or transfer to another"
disregard,lack of attention and due care
dissect,cut open or cut apart
dissemble,behave unnaturally or affectedly
disseminate,cause to become widely known
dissension,disagreement among those expected to cooperate
dissent,a difference of opinion
dissipate,cause to separate and go in different directions
dissolute,unrestrained by convention or morality
dissolve,pass into a solution
dissonance,disagreeable sounds
dissuade,turn away from by persuasion
distend,cause to expand as if by internal pressure
distill,undergo condensation
distort,twist and press out of shape
distract,draw someone's attention away from something
distraught,deeply agitated especially from emotion
ditty,a short simple song
diurnal,having a daily cycle or occurring every day
diverge,move or draw apart
diversity,noticeable variety
divert,turn aside; turn away from
divestiture,the partial or full sale of a company's division or assets
divulge,make known to the public information previously kept secret
dodge,a quick evasive movement
doff,remove
dogged,stubbornly unyielding
doggerel,a comic verse of irregular measure
dogma,a doctrine or code of beliefs accepted as authoritative
doldrums,equatorial area with calms and unpredictable light winds
dolorous,showing sorrow
dolt,a person who is not very bright
domicile,housing that someone is living in
domination,power to defeat
don,teacher at a university or college
donor,"a person who makes a gift of money, property, etc."
dormant,inactive but capable of becoming active
dour,showing a brooding ill humor
douse,wet thoroughly
downplay,understate the importance or quality of
downpour,a heavy rain
doyen,a man who is the senior member of a group
doze,a light fitful sleep
drawl,a slow speech pattern with prolonged vowels
dreary,lacking in liveliness or charm or surprise
drench,cover with liquid; pour liquid onto
drivel,saliva spilling from the mouth
drizzle,very light rain
droll,comical in an odd or whimsical manner
drone,make a monotonous low dull sound
drudgery,"hard, monotonous, routine work"
dubious,fraught with uncertainty or doubt
ductile,capable of being shaped or bent or drawn out
dulcet,pleasing to the ear
dullard,a person who is not very bright or interesting
dune,a ridge of sand created by the wind
dupe,fool or hoax
duplicity,the act of deceiving or acting in bad faith
dwindle,become smaller or lose substance
dyspeptic,suffering from indigestion
dyslexia,impaired ability to learn to read
earnest,"characterized by a firm, sincere belief in one's opinions"
easel,an upright tripod for displaying something
eavesdrop,listen without the speaker's knowledge
ebullient,joyously unrestrained
eccentric,conspicuously or grossly unconventional or unusual
eclat,brilliant or conspicuous success or effect
eclipse,the phenomenon when one celestial body obscures another
ecstasy,a state of elated bliss
ecumenical,concerned with promoting unity among churches or religions
eddy,a miniature whirlpool or whirlwind
edible,suitable for use as food
edifice,a structure that has a roof and walls
efface,remove by or as if by rubbing or erasing
effervesce,become bubbly or frothy or foaming
effete,"excessively self-indulgent, affected, or decadent"
effluvium,a foul-smelling outflow or vapor
effrontery,audacious behavior that you have no right to
effulgence,the quality of being bright and sending out rays of light
effusive,uttered with unrestrained enthusiasm
egalitarian,favoring social equality
egoism,concern for your own interests and welfare
elaborate,marked by complexity and richness of detail
elastic,capable of resuming shape after stretching or compression
elate,fill with high spirits
eleemosynary,generous in assistance to the poor
elegy,a mournful poem; a lament for the dead
elephantine,of great mass; huge and bulky
elevate,raise from a lower to a higher position
elicit,"call forth, as an emotion, feeling, or response"
ellipsis,a mark indicating that words have been omitted
elliptical,rounded like an egg
elucidate,make clear and comprehensible
emaciate,grow weak and thin or waste away physically
emancipate,free from slavery or servitude
embargo,a government order imposing a trade barrier
embark,go on board
embarrass,cause to feel self-conscious
embed,fix or set securely or deeply
embezzle,appropriate fraudulently to one's own use
embolden,give encouragement to
emboss,raise in a relief
embrace,"squeeze tightly in your arms, usually with fondness"
embroider,decorate with needlework
emigrate,leave one's country of residence for a new one
eminence,high status importance owing to marked superiority
emollient,a substance with a soothing effect when applied to the skin
emulate,"strive to equal or match, especially by imitating"
enact,order by virtue of superior authority; decree
enamel,any smooth glossy coating that resembles ceramic glaze
encomium,a formal expression of praise
encompass,include in scope
encumber,"hold back, impede, or weigh down"
endemic,native to or confined to a certain region
endorse,approve of
enervate,"weaken physically, mentally, or morally"
enfranchise,"grant freedom to, as from slavery or servitude"
engender,call forth
engross,devote fully to
enigma,something that baffles understanding and cannot be explained
enlighten,give spiritual insight to
enmity,a state of deep-seated ill-will
ennoble,give a title to someone
ennui,the feeling of being bored by something tedious
ensemble,an assemblage of parts considered as forming a whole
ensconce,fix firmly
ensue,take place or happen afterward or as a result
entangle,cause to twist together or be caught in a snarled mass
enthusiasm,a feeling of excitement
entice,provoke someone to do something through persuasion
entrance,something that provides access to get in
entrap,catch in or as if in a snare
